,0
SMA_21,0.019812038
EMA_12,0.019296005
DXY_Ret_5d,0.01676413
MACD_Lag_1,0.016497197
SMA_Dist_200,0.01635741
TIP_Ret_1d,0.01545947
Gold_SPX_Ratio,0.015282848
ATR_14,0.014940375
RSI_14,0.014810121
GLD_Lag_10,0.014430873
DXY_Ret_1d_Lag_1,0.013619284
GLD_Ret_21d,0.013407754
SPX_Ret_1d_Lag_1,0.013194101
OBV,0.013141904
VIX_Ret_5d,0.013008723
USO_Ret_21d,0.012934087
MACD_Signal,0.012725028
BB_Pct_B,0.0126600675
GLD_Lag_1,0.012521324
DXY_Ret_1d,0.012264882
VIX_Ret_1d,0.012229955
GLD_Ret_Lag_10,0.012155594
RSI_7,0.012151667
VIX_Ret_21d,0.0121464
Gold_Oil_Ratio,0.012091447
VIX,0.012088034
Gold_DXY_Ratio,0.012028181
GLD_Ret_Lag_5,0.011918839
GLD_Lag_3,0.011837475
SPX_Ret_5d,0.011812823
